sample,x0,x1,density_matrix_error
0,0.14855491724728864,5.660693756345847,1.1010121080331971e-15
1,-4.4716221861221825,5.637895228653949,1.34593134880857e-15
2,-2.3645957120020693,-0.9635082585295942,1.6158708806765113e-15
3,4.118032245234479,-1.1410373044890063,7.882513446484688e-16
4,0.6232126594324416,-5.9368672763640955,2.2562366424003522e-15
5,3.1857396792059323,0.4793230103730357,1.2947771581522365e-15
6,-2.139654354343185,3.6245019831004175,1.0657043180891246e-15
7,-2.473126713943413,-0.5843627551360235,1.3159478798134005e-15
8,-4.598767661793986,-1.217518120023814,1.5584649013859688e-15
9,-3.7264913494094465,-2.9868586540967352,2.1726154085300423e-15
